[I 211221 02:59:07 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:03:07 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:03:12 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:03:16 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:08:39 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:09:58 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:10:07 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:10:53 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:11:01 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:11:11 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:11:58 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:12:06 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:12:35 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:13:01 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211221 03:13:03 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:13:05 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:13:37 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:13:37 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:13:38 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:13:39 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:13:39 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:13:39 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:13:39 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:13:40 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:13:40 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:13:59 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:14:00 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:14:01 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:14:01 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:14:15 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:14:18 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:14:36 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:15:57 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:16:32 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:16:42 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:17:29 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:18:22 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:19:18 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211221 03:26:58 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:27:09 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:27:22 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction/enter.html
[I 211221 03:27:27 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction/enter
[I 211221 03:28:11 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction/enter#
[I 211221 03:28:13 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction/
[I 211221 03:28:20 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:28:30 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:28:40 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:28:51 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:29:47 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:30:39 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:30:41 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:30:42 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:30:45 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:30:46 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:30:47 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:30:59 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:31:00 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:32:16 handlers:132] Browser Connected: http://127.0.0.1:8000/predict_result.html
[I 211221 03:33:16 handlers:132] Browser Connected: http://127.0.0.1:8000/predict_result.html
[I 211221 03:33:49 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 03:33:51 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:33:56 handlers:132] Browser Connected: http://127.0.0.1:8000/predict_result.html
[I 211221 03:36:03 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 03:36:05 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:36:48 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:36:53 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:43:27 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:44:29 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:44:41 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:45:38 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:46:20 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:46:43 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 03:46:47 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
